,Reaction,Total Sens,Sens Type
75,[CH3] + [Pt] <=> C[Pt],50.95302591523377,SynGasSelec
76,[CH3] + [Pt] <=> C[Pt],62.31490784219471,SynGasYield
77,[CH3] + [Pt] <=> C[Pt],69.35275301145384,COSelec
78,[CH3] + [Pt] <=> C[Pt],77.38348502820587,COYield
79,[CH3] + [Pt] <=> C[Pt],54.88347343635046,H2Selec
80,[CH3] + [Pt] <=> C[Pt],65.01449569042869,H2Yield
81,[CH3] + [Pt] <=> C[Pt],25.217863231424424,CH4Conv
82,[CH3] + [Pt] <=> C[Pt],55.477508912795656,FullOxSelec
83,[CH3] + [Pt] <=> C[Pt],43.18715856984644,FullOxYield
84,[CH3] + [Pt] <=> C[Pt],10.750599235014922,ExitT
85,[CH3] + [Pt] <=> C[Pt],4.6711827074734655,MaxT
86,[CH3] + [Pt] <=> C[Pt],595.4385170038596,DistToMaxT
87,[CH3] + [Pt] <=> C[Pt],12.367979040292614,O2Conv
88,[CH3] + [Pt] <=> C[Pt],23.794091804146543,MaxRateCH4Conv
89,[CH3] + [Pt] <=> C[Pt],30.54098148265295,DistTo50CH4Conv
90,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],115.76632136357502,SynGasSelec
91,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],122.23962353272867,SynGasYield
92,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],145.166278267511,COSelec
93,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],146.02982833132887,COYield
94,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],129.49064298903414,H2Selec
95,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],157.33444735100454,H2Yield
96,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],39.763812098390055,CH4Conv
97,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],53.66945336665553,FullOxSelec
