,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion
31,C=[Pt] + O=C[Pt] <=> C[Pt] + O=C=[Pt],0.018958388086092657,0.03137579611912276,0.01127061015644749,0.023687063747676,0.026767583150015276,0.03918596069885444,0.012415054338846288,-0.09259580513699632,-0.08019224661766622,-0.024533805613752614,-0.006568172839184191,-0.09442870632672132,0.0
32,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],0.025648735621772868,0.052761401822831754,0.01553626142765568,0.04264618657040441,0.035920921457979996,0.0630363720083552,0.02710571392816116,-0.1396475024468003,-0.11257964097116421,-0.033629512519142236,-0.006568173614998376,-0.09442870632672132,0.0
33,O=C[Pt] + O=[Pt] <=> O=C=[Pt] + O[Pt],0.025648739153084677,0.05276141931760731,0.015536270592814533,0.042646209699121244,0.03592091926646644,0.06303638378018844,0.02710572788708352,-0.1396475374495387,-0.11257966204395094,-0.033629515168667995,-0.006568173912902688,-0.09442870632672132,0.0
34,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],0.024679585479644457,0.04943582824408936,0.014633974286317207,0.0393877307484731,0.03488385231241397,0.059642620646623734,0.02475013453383534,-0.1325243479341261,-0.10780701335470166,-0.03242573843874881,-0.006568171448600774,-0.09442870632672132,0.0
35,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],0.025648732643433605,0.05276139690560659,0.015536258345591384,0.042646181549614776,0.03592091858500395,0.06303636719633016,0.027105711990590507,-0.13964748832015278,-0.11257962877555237,-0.03362950935172887,-0.00656817475707443,-0.09442870632672132,0.0
36,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],0.014200842632147319,0.01662661158169414,0.008806793264369396,0.011232431385312824,0.019680083068452446,0.02210598491283942,0.0024254245188266863,-0.05975219201309213,-0.057328216738580844,-0.017839289853198662,-0.00656817334111938,-0.09442870632672132,0.0
37,2 C=[Pt] <=> C[Pt] + C#[Pt],0.029794358627795815,0.06610179813103206,0.018148568076160984,0.05445178055045477,0.041624077296022306,0.07793581058791285,0.03629662515657542,-0.16901306990553866,-0.13277779078941698,-0.03931552822932273,-0.006568173281785342,-0.09442870632672132,0.0
38,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],0.02597295501369827,0.05476396514747686,0.015929376513135633,0.04471749575007782,0.03617515705032632,0.06496910373842203,0.028783534199393127,-0.14140604035533605,-0.11266320781193587,-0.03341527954553046,-0.006568173874180096,-0.09442870632672132,0.0
39,C=[Pt] + C~[Pt] <=> 2 C#[Pt],0.020253302700907565,0.03670765577118288,0.01256687049287896,0.029019959066574688,0.028061130789547473,0.04451676832728546,0.01645102119515921,-0.10148827236142306,-0.08505394702346397,-0.02552496102688725,-0.006568173240995194,-0.09442870632672132,0.0
40,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],-0.03318428730184889,0.1668001491354274,-0.03030661752997846,0.1696835757093325,-0.036107405631230376,0.16387118308382395,0.2000508218767684,-0.2042333066892238,-0.004591055221025176,0.007031598854555676,0.04580246738048946,0.0,0.0
41,[C-]#[O+] + [Pt] <=> [C-]#[O+].[Pt],0.025098867233041135,0.05175099360222445,0.015098751404329168,0.041748213198785036,0.03525692016889043,0.06191175319584896,0.02664543866592047,-0.13496304436463827,-0.10835356719393545,-0.03233621623974866,-0.006568172465004706,-0.09442870632672132,0.0
