,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
24,[H][H] + [Pt] <=> [H][H].[Pt],0.0003751407117667088,0.0011723531471756765,0.00019555993566629202,0.0009927709394386345,0.000549404635170229,0.0013466184598176995,0.0007972094447532213,-0.005645971950793512,-0.0048488075162716505,-0.0008884752531612402,-2.6144719737726407e-10,0.0,0.0,-6.8912206268403874e-09,0.0
25,CC + 2 [Pt] <=> 2 C[Pt],0.00028171350829209494,0.0007507514165449225,9.455254646580524e-07,0.00046998211680972327,0.000554168786161406,0.001023207972303104,0.00046903658690359315,-0.0039044181959284434,-0.0034353999221887247,-0.0007298343311090874,-3.0145701419704117e-09,0.0,0.0,1.107971921254072e-07,0.0
26,C=O + 2 [Pt] <=> O=C[Pt] + [Pt],-0.052097067021814214,-0.18214528483400064,-0.048967435189832646,-0.17901972515392983,-0.055134039762739666,-0.1851783059873696,-0.13011600443423013,0.8370360121783251,0.7058308899293583,0.11428430242457446,-2.0507824183892087e-09,0.0,0.0,-2.436801019967589e-08,0.0
27,CO + 2 [Pt] <=> C[Pt] + O[Pt],-0.052048151803976817,-0.18173568598859713,-0.04865926610722199,-0.17835119754282436,-0.055336702673746935,-0.18501996979691504,-0.12975506930006758,0.8356067671989094,0.7047674557589801,0.11428430242457446,3.9725581508105745e-10,0.0,0.0,1.7528061473739002e-08,0.0
28,CC=O + 2 [Pt] <=> C[Pt] + O=C[Pt],-0.011681926909674834,0.04355967028422006,-0.00601345326668845,0.04923127564844571,-0.01718257390608847,0.038055984287536884,0.05524805123086307,-0.06372997268012197,-0.008517131017217754,0.004146949963243059,0.015778495601990256,0.09487666034155395,0.0,0.4194357032990671,0.0
29,O=C[Pt] + [Pt] <=> O=C=[Pt] + [Pt],0.0006979845119869671,0.002472535140721686,0.0005846689664216121,0.0023592175843341412,0.0008079451212592936,0.0025824977012876686,0.001774538242735581,-0.011434619632565281,-0.009660284301532315,-0.0016143317949005903,-2.8195814322064847e-09,0.0,0.0,-8.027516809026014e-09,0.0
30,O=C[Pt] + C#[Pt] <=> C=[Pt] + O=C=[Pt],-0.05209705874528613,-0.18214527106339398,-0.0489674175833988,-0.17901970206536105,-0.05513404053988659,-0.18517830125879528,-0.1301159989265047,0.8370359797445059,0.7058308630915814,0.11428430242457446,-2.7438565448369245e-09,0.0,0.0,-1.9621895048473736e-09,0.0
31,C=[Pt] + O=C[Pt] <=> C[Pt] + O=C=[Pt],-0.05201222284574295,-0.18142541894420142,-0.048431032581987055,-0.1778488656250107,-0.055487384716197505,-0.18489608115625236,-0.12948054180641497,0.8345401886715742,0.7039790797072623,0.11428430242457446,1.9403578212942176e-10,0.0,0.0,3.824606661990643e-10,0.0
32,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],-0.05209706159977499,-0.18214529372483795,-0.04896743441861039,-0.17901973868994328,-0.05513402982758033,-0.18517831037050797,-0.1301160187474948,0.837036058237892,0.7058309214959365,0.11428430242457446,1.373365878763621e-10,0.0,0.0,-1.6628724617350623e-10,0.0
33,O=C[Pt] + O=[Pt] <=> O=C=[Pt] + O[Pt],0.00020967087089418204,0.0005940006399366939,4.052343093620986e-05,0.00042485254989889734,0.00037381035820977567,0.0007581407580735622,0.00038432896320962775,-0.002989260407541498,-0.002604942932940782,-0.0005247896794764333,3.144661193867174e-11,0.0,0.0,-1.1653964502659895e-09,0.0
34,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],0.000657768466250545,0.001962974189216457,0.0002136824389959797,0.001518882365760552,0.0010887064269580783,0.002393917774505426,0.0013051971377900352,-0.009667479133972545,-0.0083624081758418,-0.0016193596487452068,-1.950757876339766e-09,0.0,0.0,-4.557656272205517e-09,0.0
35,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],0.0004488002625559016,0.001329297445042236,0.00015795754309746773,0.0010384521647331664,0.0007310319940667534,0.0016115316615729328,0.0008804932308274674,-0.006562217965355141,-0.005681782514416268,-0.0010936005239844373,-1.74490907749984e-09,0.0,0.0,-4.783100206205248e-07,0.0
36,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],0.0007478146961162229,0.0027567820229083724,0.0007496110711775963,0.0027585784340785104,0.0007460715064012503,0.0027550387981655692,0.002008952303556993,-0.012527761189298792,-0.01051906056249144,-0.0016757781394991904,-3.511045439547623e-10,0.0,0.0,1.1113530952596e-09,0.0
37,2 C=[Pt] <=> C[Pt] + C#[Pt],-0.05210442523966999,-0.18199945611858617,-0.048887772281918686,-0.17878698361138676,-0.05522584266963128,-0.18511681686871545,-0.1299627472213787,0.8365483965383518,0.7054984480389808,0.11428430242457446,-2.1503304966213987e-09,0.0,0.0,1.7566861831179488e-08,0.0
38,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],0.0006888423717298425,0.0026031826109299914,0.000853380741191154,0.002767724130190141,0.0005291754940757014,0.002443512676709949,0.0019143270525080283,-0.011578566083853128,-0.0096644606829812,-0.0014296279119371945,-2.318440075177558e-09,0.0,0.0,-2.3730575756010786e-08,0.0
39,C=[Pt] + C~[Pt] <=> 2 C#[Pt],-0.0948069443280353,0.2657992343736378,-0.0830326219306165,0.27761605599734784,-0.10623266405599721,0.25433227369507116,0.3609483828340422,-0.30172038433815546,0.05813894364793513,0.028026118222797894,0.09297374651179295,0.09487666034155395,0.0,0.39351071514548797,0.0
40,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],0.00043000699579162974,0.0014764440244859481,0.0003674699258721353,0.0014139063001520963,0.000490692529067182,0.0015371301927889756,0.001046432528965967,-0.006825878341213972,-0.005779517240469568,-0.0009600972266165376,-2.447512480292608e-09,0.0,0.0,-4.721172064276131e-09,0.0
41,[C-]#[O+] + [Pt] <=> [C-]#[O+].[Pt],-0.052104419498482615,-0.18199941036501718,-0.048887735630337346,-0.17878690698628952,-0.05522586692367304,-0.18511680107262543,-0.1299627071806727,0.8365482308478467,0.7054983229394896,0.11428430242458641,-3.144053291755507e-09,0.0,0.0,-2.077204850117382e-09,0.0
