,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6000000000000001,0.04220610931192466,2.582417014212566e-05,0.03792816357426031,0.05969582402206147,0.02443332856090693,0.0040725654798346176,1831.9541363343392,1951.2429825108818,12.820000000000002,0.9999999930336443,-0.1854624355677726,12.750000000000002
1,0.7000000000000002,0.04764223879568619,0.0007188542771795139,0.04283138563058056,0.07522322290911433,0.018118272090309626,0.003605171421886208,1581.6707593451588,1898.3387624160237,12.220000000000002,0.9999999999860807,-0.16591233045787565,12.200000000000001
2,0.8,0.05273657570711542,0.004976512934316208,0.04383983354121976,0.07980446229554593,0.015249439509591477,0.003478651126231542,1462.7934081639396,1858.8882532987507,11.82,0.9999999999995897,-0.14602185234148593,11.83
3,0.9000000000000001,0.05752037248751414,0.010485200218421665,0.043223283079941756,0.07979837781581901,0.013895700678431174,0.0034686845872490494,1399.5456043453785,1824.3615246659015,11.590000000000002,0.9999999999999462,-0.1270458922229739,11.65
4,1.0,0.06202118410625546,0.01600187814018488,0.04226123764321618,0.07867270664720408,0.013037276447675685,0.0034886686486304765,1355.8579428454766,1792.9124549374587,11.420000000000002,0.9999999999999877,-0.12465954317307654,11.57
5,1.1,0.0662633991614029,0.021667618338004683,0.04094266278528709,0.07671743941928366,0.01231719999504559,0.0035125846292365093,1318.8098226818543,1759.9693193569733,11.270000000000001,0.9999999999999967,-0.12420941225005158,11.680000000000001
6,1.2,0.07026868199272561,0.026903946188090413,0.03974104013535342,0.07487110035276702,0.01176323309232213,0.0035413489153731798,1288.946285151769,1728.7928894723266,11.13,0.9999999999999989,-0.12379711110399663,12.270000000000001
7,1.3000000000000003,0.07405634272972031,0.031710415076084915,0.03868318324820771,0.07321896353232653,0.011329415364033776,0.003572619498379846,1264.4241564421725,1699.4148334930146,11.030000000000001,0.9999999999999996,-0.12286474166795791,13.540000000000001
8,1.3999999999999995,0.07764364861664726,0.03659676057400011,0.037416412877278246,0.07115040279772236,0.010895774938699651,0.003598524694586536,1240.8948704191257,1666.95816782521,10.98,0.9999999999999999,-0.1214322826785394,16.290000000000003
9,1.6000000000000005,0.08427758988601222,0.045394260172827786,0.03521792583727401,0.0675191589600473,0.010212772526426816,0.003648152486404599,1202.7911081154957,1606.880079065517,10.88,1.0,-0.1185574996899183,510.0
10,1.8,0.09027684884714632,0.053243317724745075,0.03329239205197574,0.06430901690739879,0.009651166537631137,0.0036882034868106137,1171.7427156869524,1552.7820140220433,10.77,1.0,-0.1156091929462505,510.0
11,2.0,0.09572834938139431,0.06071485697449198,0.03129171640817309,0.060861612368684946,0.009153804026245183,0.0037176964520587324,1144.794617916062,1501.363981794935,10.72,1.0,-0.11144106268090037,510.0
12,2.2,0.10070383531597825,0.06715462780613618,0.02972929243329681,0.058172988964860936,0.008770056164939144,0.0037443056796784367,1123.4267503106669,1460.1649268889,10.660000000000002,1.0,-0.10748819170162405,510.0
13,2.4,0.10526304553491962,0.07328053605334894,0.028136616302009813,0.05536659423363607,0.008424837725204606,0.0037630970142107653,1104.437816929315,1421.7040865851936,10.620000000000001,1.0,-0.10314935046069201,510.0
14,2.6,0.10945612414928066,0.07902157861244104,0.026600558078436674,0.05263186089841209,0.00810895559730778,0.0037743040683099866,1087.3631285211698,1386.065571467942,10.570000000000002,1.0,-0.10071029243506335,510.0
