,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv
0,0.6000000000000001,0.04220610931192466,2.663370982637238e-05,0.03795465263744687,0.059890838934165615,0.024271834561249803,0.004057577577287115,1826.2203939060955,1949.8295762935581,12.750000000000002,0.9999999938431772
1,0.7000000000000002,0.04764223879568619,0.0007505470538482251,0.04282035551353452,0.07526672607516162,0.018040816692018142,0.0035995294590339586,1579.048658623617,1897.6660471020482,12.180000000000001,0.9999999999870605
2,0.8,0.05273657570711542,0.005070615650597922,0.04377294026971495,0.07970880092679196,0.015201388926944484,0.0034755661776937727,1461.1613881913509,1858.0356670657366,11.81,0.9999999999996099
3,0.8999999999999999,0.05752037248751414,0.010597994667248593,0.0431455754339527,0.07968671969410679,0.013840315876174101,0.003465023752084345,1397.7136462618298,1823.3882711583283,11.55,0.9999999999999494
4,1.0,0.06202118410625546,0.01622213109040954,0.04210293330962157,0.07841873654590387,0.012958320816274328,0.003483432626853362,1353.2278108676871,1791.0875324883084,11.36,0.9999999999999887
5,1.1,0.0662633991614029,0.02167900869529899,0.040938378428000716,0.07673026370102812,0.012293169785964814,0.0035106589245941003,1318.0593647255166,1759.666116906187,11.22,0.9999999999999968
6,1.1999999999999995,0.07026868199272561,0.026918070084484064,0.039735465918041606,0.07487737570120956,0.011742556296128035,0.0035395859116365194,1288.3127132835066,1728.4670981260183,11.1,0.9999999999999989
7,1.2999999999999998,0.0740563427297203,0.03189664675843885,0.03855088206961469,0.07299716294728692,0.011278102120703366,0.0035686965751404068,1262.7154497741385,1697.3738029760475,11.02,0.9999999999999997
8,1.3999999999999995,0.07764364861664726,0.036630426800488385,0.037395909597630235,0.07112518569682101,0.010875832540549146,0.003596747705608947,1240.2793544885405,1666.4543371178297,10.950000000000001,0.9999999999999999
9,1.6000000000000003,0.08427758988601221,0.045417973977475774,0.035209942170341305,0.06753756261488937,0.01017499475792685,0.0036442696436792344,1201.6650507469287,1606.089344383052,10.830000000000002,1.0
10,1.7999999999999998,0.09027684884714632,0.05341339228143812,0.033177755946920226,0.06411627237802595,0.009608345082592033,0.0036838489803172735,1170.3492447244982,1550.5814606124686,10.740000000000002,1.0
11,2.0,0.09572834938139431,0.060651538226772383,0.03134722094441679,0.06098817095731334,0.009132308099945039,0.0037149305800878957,1144.2750890018142,1501.7296802798965,10.68,1.0
12,2.2000000000000006,0.10070383531597826,0.06734444573293409,0.029608106084843593,0.0579704770593904,0.008723097051608293,0.0037384518017200986,1121.9287994688368,1457.7964856997446,10.620000000000001,1.0
13,2.4,0.10526304553491962,0.07353832219440827,0.02796543925467595,0.055061266861538394,0.008384664179593134,0.0037576897983591082,1103.0455295918644,1418.6415991077552,10.59,1.0
14,2.6,0.10945612414928066,0.07920336670809217,0.02648318227457663,0.05242918520238258,0.008076305515969334,0.0037694831158644236,1086.25544747631,1383.9112958881108,10.540000000000001,1.0
