,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6000000000000001,0.042206109311924665,0.0006339316913343337,0.030371740229483107,0.05196255553699073,0.026646295700346996,0.0066908767441402825,1889.7918213372814,1957.6778782078889,12.63625,0.9999999800505365,-0.22602419544713556,12.616249999999999
1,0.7000000000000002,0.04764223879568619,0.002486211529790283,0.021466829771189442,0.04094592473067404,0.03245107283916844,0.006828736045401219,1810.566379909802,1914.7015386172052,12.095625000000002,0.9929235130090431,-0.2042359358556684,12.117647058823529
2,0.7999999999999998,0.052736575707115416,0.010503067092153822,0.013736979319032894,0.0342055493833993,0.028608132502352505,0.0068945311704209965,1625.8965472528503,1882.7489624841237,11.731428571428571,0.8515678589367253,-0.18041447083771903,12.02153846153846
3,0.8999999999999997,0.05752037248751413,0.014874133226700108,0.012745577784378877,0.03357924343743369,0.028714238012300747,0.0069656756641951634,1588.3436162630248,1855.974504459519,11.484,0.8667277241797361,-0.1559308412439113,12.3
4,1.0,0.06202118410625546,0.01984393387428823,0.011111419842635466,0.03139073763587319,0.02884363877477232,0.007033020747237254,1555.4704166103083,1831.3810679941505,11.300588235294118,0.8709593039847501,-0.13292552336906654,13.410000000000002
5,1.1000000000000003,0.0662633991614029,0.02385057384415709,0.011309774162957482,0.03188345465893577,0.028844138039300058,0.007097245421329066,1538.5821783990164,1809.39026896943,11.160714285714288,0.9013287192715036,-0.1120595178575676,15.080000000000002
6,1.2,0.07026868199272561,0.028646414650198702,0.010294092752603052,0.03009072885248576,0.02885007145153095,0.00714933907246899,1519.0537588674035,1787.3355107762145,11.05625,0.9126998334930431,-0.11257944928731163,19.865000000000002
7,1.3,0.07405634272972031,0.03313382918628485,0.009826394084324558,0.029011907192933287,0.02876651248983761,0.007196639898490162,1505.2447983422974,1765.7525857013975,10.978235294117647,0.929785045524816,-0.1126268621323447,30.551111111111116
8,1.3999999999999997,0.07764364861664726,0.03745095472617224,0.009583502348265868,0.028248176404208243,0.028593054185404136,0.0072356500789188295,1492.5390201913,1744.3058548768224,10.911176470588236,0.9491192992197813,-0.11125585528747517,50.28615384615385
9,1.6000000000000003,0.08427758988601222,0.04654523088795026,0.008689668612524733,0.025378141529572126,0.02808873199815833,0.0072902969922145995,1472.9715179383543,1700.844674040822,10.812142857142858,0.9741813031157648,-0.10961366412778678,510.0
10,1.8,0.09027684884714632,0.05553286552450854,0.007764946702269194,0.022174100459652978,0.02731442577408412,0.00729934417663122,1453.4845428476294,1654.4937858004107,10.778333333333334,0.9893766481735234,-0.10669047461390577,510.0
11,2.0,0.09572834938139432,0.07019961021875228,0.01758650951166921,0.034204558832184956,0.015916524867481314,0.007180603337216963,1376.354805097406,1605.848925305384,10.731333333333335,0.999999999999851,-0.10306062652697733,510.0
12,2.2,0.10070383531597824,0.07786929057437238,0.01484327010953932,0.027926300951772808,0.01666696065144037,0.007132212569894217,1371.511802266211,1558.644737668679,10.710714285714287,0.9999999999997742,-0.10004757709624731,510.0
13,2.4,0.10526304553491962,0.08477384460184625,0.01252642566262602,0.022539262149523554,0.017260945038890658,0.007055247104341181,1365.2456603816772,1514.7520053928572,10.702941176470588,0.9999999999996786,-0.09665919617981214,510.0
14,2.6000000000000005,0.10945612414928066,0.09104128143167525,0.010638869794945582,0.01812081747962546,0.017600778918559774,0.006951960630287403,1355.53186362428,1474.0323135731571,10.682666666666666,0.9999999999996128,-0.09298448763114402,510.0
