,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion
32,[CH]=O + [Pt] <=> O=C[Pt],1.9077151262363143e-07,4.831645126724662e-07,9.063601968665349e-08,3.830290212293987e-07,2.913466274478479e-07,5.837396179289997e-07,2.9239299622918954e-07,-8.050480381751216e-07,-5.126550504514031e-07,-2.3488563680274385e-07,9.795406649583313e-10,0.0,0.0
33,CC=O + 2 [Pt] <=> C[Pt] + O=C[Pt],3.843245634609842e-10,-1.1195360392943765e-09,6.976032763530166e-10,-8.062632783498127e-10,6.967043058720084e-11,-1.4341841940892395e-09,-1.5038636581632258e-09,3.4954265378352386e-09,1.991559734362713e-09,1.0709810223375307e-09,2.8769321168640565e-11,0.0,0.0
34,O=C[Pt] + [Pt] <=> [Pt] + O=C=[Pt],-0.001955700037767446,-0.005221657499917135,-0.0017215524713300252,-0.00498751758077692,-0.002190875606518154,-0.005456825387774507,-0.003266021335728203,0.009857510305197508,0.006591167021076046,0.002469564375707516,-7.971630443623754e-11,0.0,-2.220446049250603e-14
35,O=C[Pt] + O=[Pt] <=> O[Pt] + O=C=[Pt],-0.00459139423107364,-0.007249970820228213,-0.005224861505376307,-0.007883421252559088,-0.003955145779797156,-0.006613739284874638,-0.00265869866049252,0.018554297285940508,0.015895105322586135,0.005594090852286851,0.0030758329555201198,0.08968609865472253,-4.440892098501206e-14
36,C=[Pt] + O=C[Pt] <=> C[Pt] + O=C=[Pt],-0.007028812474147583,-0.017139811254382298,-0.006347074963179288,-0.01645814267873104,-0.007713543087909424,-0.01782447263016517,-0.010111709513338698,0.032098022119603886,0.021983066947508578,0.00817647272179483,3.626670438530422e-11,0.0,-5.551115123126508e-14
37,O=C[Pt] + C#[Pt] <=> C=[Pt] + O=C=[Pt],-0.0019557020143470124,-0.0052216506427108355,-0.0017215559164890997,-0.004987512192112143,-0.0021908761080705547,-0.005456817055622008,-0.00326601250184764,0.00985749701768965,0.006591162568746923,0.0024695606847057235,2.384570406964366e-10,0.0,-2.220446049250603e-14
38,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],-0.0019556926731771145,-0.0052216313051788935,-0.0017215466618473974,-0.004987492941089805,-0.0021908666799792284,-0.005456797631222057,-0.0032660025049884456,0.009857461001880122,0.006591136551965389,0.002469551826734084,-5.862047951283997e-11,0.0,-2.220446049250603e-14
39,O=C=O + [Pt] <=> O=C=O.[Pt],-1.1621633399058334e-05,4.5380308982832364e-06,-5.329103911558883e-05,-3.7131381545464244e-05,3.0230717825391037e-05,4.6390388879484795e-05,1.6159666168097623e-05,3.3673321881504734e-05,4.983299348367912e-05,-5.638169464615814e-06,2.1731806216867117e-05,0.0,0.0
40,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.0017341397160038296,0.001453594499089789,-0.009482425372098984,-0.006294938156054541,0.00604816404115324,0.009236146339700137,0.0031877894958130936,0.005260576106805309,0.008448533298712193,-0.0012961314952171094,0.005337148372567815,0.0,2.220446049250603e-14
41,O=C=O.[Pt] + [Pt] <=> O[Pt] + O=C=[Pt],0.00040299193758520035,0.00030233972158396467,0.0017837345923363867,0.0016830809865857786,-0.0009838127346566386,-0.0010844635548283481,-0.00010065181039735642,-0.0021580927536496296,-0.0022587423918926826,-7.613078309732064e-05,1.2978113024756938e-05,0.0,0.0
