,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6000000000000001,0.04220610931192466,0.003300626444226373,0.011972472028623152,0.032849145532150646,0.026768047870752022,0.008774567262259194,1730.0463644643025,1953.1788289080266,12.5,0.8002427032840084,-0.23515505487990349,12.5
1,0.7000000000000002,0.04764223879568619,0.006591359557129473,0.00999379988151819,0.033506066587664494,0.026509205130009025,0.009005786332880681,1649.99517703514,1914.0295207488896,12.010000000000002,0.8010036272481493,-0.2138280327040172,12.110000000000001
2,0.8,0.05273657570711542,0.010452814484590163,0.008861373151022913,0.03390042791862732,0.02642822140989464,0.009225386212884245,1599.2504642074346,1884.0644159608867,11.680000000000001,0.8152590297407054,-0.18871286016379774,12.120000000000001
3,0.9000000000000001,0.05752037248751414,0.015147098561367844,0.007149041787305265,0.03250853199953471,0.02638682093987227,0.009424588597272597,1557.140794101773,1856.5411470225647,11.440000000000001,0.8196802502336534,-0.16659509443380238,12.740000000000002
4,1.0,0.06202118410625546,0.019140463096299753,0.0068940075243793635,0.03292991598282405,0.026383840202171053,0.00960647041452519,1534.3892859095463,1835.0086017000754,11.270000000000001,0.8463750376984178,-0.1441158375761413,13.83
5,1.1,0.0662633991614029,0.023368645106313236,0.006406583626187799,0.032637018277790045,0.026349363430996007,0.009767770665331984,1514.6735126073625,1814.0513287275971,11.14,0.8681019791476345,-0.1226339797175846,16.310000000000002
6,1.2,0.07026868199272561,0.0275976895294381,0.005966707041510712,0.03216719764879336,0.026281772549273785,0.009910691902885927,1498.6287585414707,1793.945541638126,11.040000000000001,0.8892574431462213,-0.10272790894669814,21.390000000000004
7,1.2999999999999998,0.0740563427297203,0.03194636841609853,0.0053803703893455625,0.031228763512089155,0.026178604958569943,0.010035443396104054,1484.3441595335366,1774.0321080181516,10.96,0.9063682452638485,-0.08447099701243688,32.550000000000004
8,1.3999999999999995,0.07764364861664726,0.036111895807483425,0.005062567450906497,0.03057334509343321,0.02602465624382788,0.010140783476137826,1473.1146422900201,1754.509223886425,10.900000000000002,0.9262852070991354,-0.08332324717426343,54.78
9,1.6000000000000005,0.08427758988601222,0.04475103475281077,0.004034032821210087,0.028080386766188892,0.025596685350780683,0.01029356452456323,1452.798342482472,1714.521692434819,10.81,0.953428379921311,-0.08613508562423378,110.0
10,1.8,0.09027684884714632,0.053300913174438566,0.003254563780259045,0.025405924783902644,0.024958126940589773,0.010363681762244606,1436.68851217285,1672.7427896720362,10.76,0.9758594664449691,-0.08719797519210482,110.0
11,2.0,0.09572834938139431,0.061941864224042825,0.0024478434683386325,0.022138410557277444,0.024158166423249052,0.010346652171314814,1422.557064875771,1629.133185605528,10.72,0.9882597349727696,-0.08727212384745942,110.0
12,2.2,0.10070383531597825,0.0704508283711694,0.001833582193449137,0.018742250529179043,0.023234432849426712,0.010241197261631068,1410.3741837666298,1584.5547090788968,10.700000000000001,0.9951757220702577,-0.08643549307217613,110.0
13,2.4,0.10526304553491962,0.0788127171031785,0.0014326146339904053,0.015262614486927164,0.02224981338340033,0.010058295676013834,1401.1200000000001,1540.8401796619082,10.690000000000001,0.998696399399813,-0.0862136398320501,110.0
14,2.6000000000000005,0.10945612414928066,0.08656573039077733,0.0012184465456610352,0.012198466030270394,0.0212316562053163,0.009820282291351078,1390.3697478488853,1499.5067648281602,10.67,0.9998958085600843,-0.08482630740745539,110.0
