,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
31,C=[Pt] + O=C[Pt] <=> C[Pt] + O=C=[Pt],-2.406714817445143e-10,2.2694409189462637e-09,6.257381915067274e-10,3.1358722435421932e-09,-1.1324716054421116e-09,1.3776749640129332e-09,2.5101254072183557e-09,-3.3014282060785984e-09,-7.91298772350677e-10,3.1963673308643633e-10,3.7769933426041573e-10,0.0,0.0,-2.6847305032303744e-10,0.0
32,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],-4.119007939915676e-11,2.3458384532362343e-09,1.2828092802069812e-09,3.6698379690650217e-09,-1.4039830550181144e-09,9.83057939387295e-10,2.387027696051042e-09,-4.022837883564695e-09,-1.6358107602803156e-09,3.541187564133367e-10,5.198666769370319e-10,0.0,0.0,1.6108383019382247e-11,0.0
33,O=C[Pt] + O=[Pt] <=> O=C=[Pt] + O[Pt],-4.953757057307225e-11,4.762696158026165e-10,1.3744779324659287e-10,6.632732401212867e-10,-2.419998842989831e-10,2.838323384386672e-10,5.258157477641689e-10,-6.673120153614575e-10,-1.4149495946306532e-10,7.305367488857676e-11,3.091977255567203e-10,0.0,0.0,4.241874195103992e-10,0.0
34,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],-5.2262012550847947e-11,2.486105794960597e-10,-1.4055042455381878e-10,1.603302461594584e-10,3.85998146352123e-11,3.394986298164924e-10,3.008819564062949e-10,-3.484544857291335e-10,-4.756820176043999e-11,-2.8627397643431673e-11,4.792205651325675e-10,0.0,0.0,-3.060592773682627e-10,0.0
35,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],5.403103378025299e-10,3.6637121193850254e-09,3.591081129229103e-09,6.714494439094981e-09,-2.5998451997336193e-09,5.235918768927649e-10,3.123416478076366e-09,-7.563247963131176e-09,-4.439825769115821e-09,5.390560500617314e-10,2.2441715242818254e-10,0.0,0.0,4.757342451724224e-09,0.0
36,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],-8.096195612495083e-11,1.5317090038560883e-09,7.77803915655349e-10,2.3904749981835853e-09,-9.648943853318832e-10,6.477890710810073e-10,1.6126841076855304e-09,-2.519366701822187e-09,-9.066743424788362e-10,2.457005594735132e-10,3.0309311389740444e-10,0.0,0.0,2.4967993680042486e-10,0.0
37,2 C=[Pt] <=> C[Pt] + C#[Pt],1.190170611935164e-10,1.417382696534399e-09,1.3322919573795367e-09,2.6306509844622957e-09,-1.1298082434774192e-09,1.6857681625127234e-10,1.2983666510155934e-09,-2.5667295727164275e-09,-1.268358442136978e-09,3.1948606257252356e-10,2.3017976903655633e-10,0.0,0.0,-6.16145650491371e-10,0.0
38,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],9.999697288383026e-10,1.3454562647601263e-09,1.0493638669091456e-09,1.394851849389923e-09,9.491161746405767e-10,1.2946138442011387e-09,3.4548704623422537e-10,-6.0908574558599905e-09,-5.745369619739887e-09,-1.2315377320049523e-09,-9.143237686936087e-11,0.0,0.0,5.288919091363838e-10,0.0
39,C=[Pt] + C~[Pt] <=> 2 C#[Pt],2.3191345821778326e-10,4.332433539124209e-09,3.2364859345712488e-09,7.336993121262037e-09,-2.860677956313746e-09,1.2398461031959478e-09,4.100526246173943e-09,-7.864558910247518e-09,-3.764025771559978e-09,6.957103358127809e-10,5.769969501969037e-10,0.0,0.0,-2.2820209277458184e-10,0.0
40,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],1.6737279620545305e-10,8.0084573900742e-10,1.0454518535217739e-09,1.6789110544381746e-09,-7.364258945217646e-10,-1.0293880732348234e-10,6.334732355295067e-10,-1.8169486195298583e-09,-1.1834704267985332e-09,1.6459677427016692e-10,2.613013186722842e-10,0.0,0.0,4.577465508007789e-10,0.0
41,[C-]#[O+] + [Pt] <=> [C-]#[O+].[Pt],-6.447846014069148e-11,2.858611273152521e-09,1.6514828177134339e-09,4.5745647273069276e-09,-1.8307142300909144e-09,1.0923961786329523e-09,2.92309837371515e-09,-4.893225787750818e-09,-1.970121023088324e-09,4.702857226401042e-10,4.5206615808776757e-10,0.0,0.0,5.23522448129923e-10,0.0
