,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv
0,0.6000000000000001,0.04220610931192466,0.0003122236684148783,0.034819897400177456,0.05650223951278979,0.025287755231423462,0.0051165299819094364,1855.7946361692143,1949.8014825424873,12.790000000000001,0.9999999905305147
1,0.7000000000000002,0.04764223879568619,0.0011084999937848643,0.031056769929596065,0.05611716788385089,0.026637531759501006,0.005182528810071656,1728.4130694674734,1908.5065609116618,12.25,0.9999999993283588
2,0.8,0.05273657570711542,0.004618453970509102,0.025232831015084417,0.04842861137209751,0.030156576741622684,0.005264804958515606,1690.341124492089,1874.9430552559602,11.880000000000003,0.9999999074890231
3,0.9000000000000001,0.05752037248751414,0.008627282886750921,0.020568585534435163,0.042159379402488095,0.03259640190477399,0.005339773174724627,1656.825612862409,1848.2389032166175,11.620000000000001,0.9989925684714224
4,1.0,0.06202118410625546,0.013376597286778898,0.018462105864316566,0.039903858069642306,0.032550871092165916,0.00540562559491921,1610.2554943312152,1824.7426664978684,11.430000000000001,0.9968718091268655
5,1.1,0.0662633991614029,0.018897686138847174,0.017305172511042476,0.038257658668269905,0.031806219010818114,0.005468256187798569,1572.3497929167006,1802.409538520365,11.290000000000001,0.9968728721329388
6,1.2,0.07026868199272561,0.024120210076090883,0.015504269442417973,0.035333495388167775,0.031752339068762236,0.005531144337711959,1544.8890866832314,1779.4625711278934,11.170000000000002,0.9959898307046349
7,1.3000000000000003,0.07405634272972031,0.031950392446374196,0.014050148496341935,0.031562109823150976,0.030039892418610686,0.005584123570396502,1513.096298696679,1758.0348258154238,11.090000000000002,0.970080610820755
8,1.3999999999999995,0.07764364861664726,0.036300042631875994,0.01370194609332958,0.030742153689354765,0.029784476313547335,0.0056397453503378445,1498.285236927476,1736.0366713447424,11.02,0.987557206757578
9,1.6000000000000003,0.08427758988601221,0.046515850110231446,0.010983076720861174,0.02489189200951207,0.029358028136617215,0.005737657205307231,1470.3305612452687,1690.7727258541402,10.920000000000002,0.9838098323585076
10,1.8,0.09027684884714632,0.05599011031424464,0.00953787321526156,0.02079530472620318,0.02852959661149651,0.005811637208736123,1450.930227620364,1643.5529091985095,10.860000000000001,0.9907217016644696
11,2.0,0.09572834938139431,0.06515612224628475,0.008487810376124963,0.017047038625275485,0.027472036632796428,0.005853900645667872,1435.3545116467258,1595.1905739798076,10.81,0.9959957000270095
12,2.2,0.10070383531597825,0.07395199782238224,0.007719493974261172,0.01357723189772937,0.026271857131631344,0.005866511412679873,1422.3469612344215,1548.1456767222496,10.780000000000001,0.9990171182677178
13,2.4,0.10526304553491962,0.08502201051694722,0.013457611346131193,0.020504179198228733,0.018749617777395897,0.005825779641084478,1366.6111423392051,1504.1595682521283,10.76,0.9999999999999405
14,2.6000000000000005,0.10945612414928066,0.09124144942245926,0.011581862693372143,0.016451150416981822,0.01888876106593775,0.005813638101094085,1355.3317232757222,1464.0298181867688,10.730000000000002,0.9999999999999283
